% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
1.167	1	1	117	8	1	22	2769	22	2769	0
1.167	1	1	117	8	1	22	2769	22	2769	0
1.167	1	1	117	8	1	22	2769	22	2769	0
1.168	1	1	117	9	1	22	2769	22	2769	0
1.168	1	1	117	9	1	22	2769	22	2769	0
1.168	1	1	117	9	1	22	2769	22	2769	0
1.169	1	1	117	10	1	22	2769	22	2769	0
1.169	1	1	117	10	1	22	2769	22	2769	0
1.169	1	1	117	10	1	22	2769	22	2769	0
1.17	1	1	118	1	1	22	2769	22	2769	0
1.17	1	1	118	1	1	22	2769	22	2769	0
1.17	1	1	118	1	1	22	2769	22	2769	0
1.171	1	1	118	2	1	22	2769	22	2769	0
1.171	1	1	118	2	1	22	2769	22	2769	0
1.171	1	1	118	2	1	22	2769	22	2769	0
1.172	1	1	118	3	1	22	2769	22	2769	0
1.172	1	1	118	3	1	22	2769	22	2769	0
1.172	1	1	118	3	1	22	2769	22	2769	0
1.173	1	1	118	4	1	22	2769	22	2769	0
1.173	1	1	118	4	1	22	2769	22	2769	0
1.173	1	1	118	4	1	22	2769	22	2769	0
1.174	1	1	118	5	1	22	2769	22	2769	0
1.174	1	1	118	5	1	22	2769	22	2769	0
1.174	1	1	118	5	1	22	2769	22	2769	0
1.175	1	1	118	6	1	22	2769	22	2769	0
1.175	1	1	118	6	1	22	2769	22	2769	0
1.175	1	1	118	6	1	22	2769	22	2769	0
1.176	1	1	118	7	1	22	2769	22	2769	0
1.176	1	1	118	7	1	22	2769	22	2769	0
1.176	1	1	118	7	1	22	2769	22	2769	0
1.177	1	1	118	8	1	22	2769	22	2769	0
1.177	1	1	118	8	1	22	2769	22	2769	0
1.177	1	1	118	8	1	22	2769	22	2769	0
1.178	1	1	118	9	1	22	2769	22	2769	0
1.178	1	1	118	9	1	22	2769	22	2769	0
1.178	1	1	118	9	1	22	2769	22	2769	0
1.179	1	1	118	10	1	22	2769	22	2769	0
1.179	1	1	118	10	1	22	2769	22	2769	0
1.179	1	1	118	10	1	22	2769	22	2769	0
1.18	1	1	119	1	1	22	2769	22	2769	0
1.18	1	1	119	1	1	22	2769	22	2769	0
1.18	1	1	119	1	1	22	2769	22	2769	0
1.181	1	1	119	2	1	22	2769	22	2769	0
1.181	1	1	119	2	1	22	2769	22	2769	0
1.181	1	1	119	2	1	22	2769	22	2769	0
1.182	1	1	119	3	1	22	2769	22	2769	0
1.182	1	1	119	3	1	22	2769	22	2769	0
1.182	1	1	119	3	1	22	2769	22	2769	0
1.183	1	1	119	4	1	22	2769	22	2769	0
1.183	1	1	119	4	1	22	2769	22	2769	0
1.183	1	1	119	4	1	22	2769	22	2769	0
1.184	1	1	119	5	1	22	2769	22	2769	0
1.184	1	1	119	5	1	22	2769	22	2769	0
